BHARTIARTL,TECHM,TATAMTRDVR,HINDALCO,AMBUJACEM,SBIN,ITC,COALINDIA,ICICIBANK,WIPRO,YESBANK,GAIL,INFRATEL,TATAMOTORS,ADANIPORTS,BPCL,SUNPHARMA,AXISBANK,CIPLA,ZEEL,AUROPHARMA,TIME 
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588305.91
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588307.1
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588308.31
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588309.46
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588310.58
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588312.45
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588313.89
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588315.1
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588316.29
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588317.46
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588319.15
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588320.63
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588321.95
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588323.26
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588324.47
 380.20, 652.80, 202.15, 232.60, 236.00, 253.80, 261.95, 281.50, 286.75, 286.85, 311.75, 326.05, 340.70, 358.40, 372.35, 418.65, 515.90, 548.75, 556.15, 571.25, 611.80,1523588325.57
